lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow	
"=IF(COUNTBLANK(A72)<1,ROW()-2,-1)"	0	0	0	0	_fFeDIM_	_gFe_*_gDW_^-1	0	0	0.01	0.01	0.01	0.01	=J71=K71	=J71=L71	=J71=M71	Input_factor	Inorg._matter	-1	Fe_content_of_inorg_matter																																														0		fFeDIM	PARM	
"=IF(COUNTBLANK(A73)<1,ROW()-2,-1)"	0	0	0	0	_fAlDIM_	_gAl_*_gDW_^-1	0	0	0.01	0.01	0.01	0.01	=J72=K72	=J72=L72	=J72=M72	Input_factor	Inorg._matter	-1	Al_content_of_inorg_matter																																														0		fAlDIM	PARM	
"=IF(COUNTBLANK(A74)<1,ROW()-2,-1)"	0	0	0	0	_fVegShade_	0	0	0	0	0	0	0	=J73=K73	=J73=L73	=J73=M73	Parameter	Light	-1	Fraction_reduction_of_light_reaching_plants																																														1		fVShade	PARM	
"=IF(COUNTBLANK(A75)<1,ROW()-2,-1)"	0	0	0	0	_cTmAveEpi_	_oC_	0	0	15	15	15	15	=J74=K74	=J74=L74	=J74=M74	Input_factor	Forcing	-1	Average_water_temperature_Epilimnion																																														0		cTmAveE	PARM	
"=IF(COUNTBLANK(A76)<1,ROW()-2,-1)"	0	0	0	0	_cTmVarEpi_	_oC_	0	0	10	10	10	10	=J75=K75	=J75=L75	=J75=M75	Input_factor	Forcing	-1	Annual_water_temperature_variation_Epilimnion																																														0		cTmVarE	PARM	
"=IF(COUNTBLANK(A77)<1,ROW()-2,-1)"	0	0	0	0	_cTmAveHyp_	_oC_	0	0	5	5	5	5	=J76=K76	=J76=L76	=J76=M76	Input_factor	Forcing	-1	Average_water_temperature_Hypolimnion																																														0		cTmAveH	PARM	
"=IF(COUNTBLANK(A78)<1,ROW()-2,-1)"	0	0	0	0	_cTmVarHyp_	_oC_	0	0	4	4	4	4	=J77=K77	=J77=L77	=J77=M77	Input_factor	Forcing	-1	Annual_water_temperature_variation_Hypolimnion																																														0		cTmVarH	PARM	
"=IF(COUNTBLANK(A79)<1,ROW()-2,-1)"	0	0	0	0	_cStratTm_	_oC_	0	0	1	1	1	1	=J78=K78	=J78=L78	=J78=M78	Input_factor	Forcing	-1	Temperature_difference_for_stratification																																														0		cStratTm	PARM	
"=IF(COUNTBLANK(A80)<1,ROW()-2,-1)"	0	0	0	0	_cTimeLag_	_d_	0	0	40	40	40	40	=J79=K79	=J79=L79	=J79=M79	Input_factor	Forcing	-1	Time_lag_for_temperature																																														0		cTimeLag	PARM	
"=IF(COUNTBLANK(A81)<1,ROW()-2,-1)"	0	1	0	0	_cVWind_	_m_*_s^-1_	0	0	2	2	2	2	=J80=K80	=J80=L80	=J80=M80	Input_factor	Forcing	-1	Average_wind_speed																																														0		cVWind	PARM	
"=IF(COUNTBLANK(A82)<1,ROW()-2,-1)"	0	0	0	0	_cQInf_	_mm_*_d_^-1	0	0	0	0	0	0	=J81=K81	=J81=L81	=J81=M81	Input_factor	Forcing	-1	Infiltration_rate																																														0		cQInf	PARM	
"=IF(COUNTBLANK(A83)<1,ROW()-2,-1)"	0	0	0	0	_cPBackLoad_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J82=K82	=J82=L82	=J82=M82	Input_factor	Forcing	-1	Background_P_loading																																														0		cPBckoad	PARM	
"=IF(COUNTBLANK(A84)<1,ROW()-2,-1)"	0	0	0	0	_cNBackLoad_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J83=K83	=J83=L83	=J83=M83	Input_factor	Forcing	-1	Background_N_loading																																														0		cNBckoad	PARM	
"=IF(COUNTBLANK(A85)<1,ROW()-2,-1)"	0	0	0	0	_cLDayAve_	_J_*_m_^-2*_d_^-1	0	0	10000000	10000000	10000000	10000000	=J84=K84	=J84=L84	=J84=M84	Input_factor	Forcing	-1	Annual_average_radiation																																														0		cLDayAve	PARM	
"=IF(COUNTBLANK(A86)<1,ROW()-2,-1)"	0	0	0	0	_cLDayVar_	_J_*_m_^-2*_d_^-1	0	0	8000000	8000000	8000000	8000000	=J85=K85	=J85=L85	=J85=M85	Input_factor	Forcing	-1	Annual_variation_in_radiation																																														0		cLDayVar	PARM	
"=IF(COUNTBLANK(A87)<1,ROW()-2,-1)"	0	0	0	0	_cfDayAve_	_h_*_h_^-1	0	0	0.5	0.5	0.5	0.5	=J86=K86	=J86=L86	=J86=M86	Input_factor	Forcing	-1	Average_day_length																																														0		cfDayAve	PARM	
"=IF(COUNTBLANK(A88)<1,ROW()-2,-1)"	0	0	0	0	_cfDayVar_	0	0	0	0.2	0.2	0.2	0.2	=J87=K87	=J87=L87	=J87=M87	Input_factor	Forcing	-1	Annual_variation_in_day_length																																														0		cfDayVar	PARM	
"=IF(COUNTBLANK(A89)<1,ROW()-2,-1)"	0	0	0	0	_fRefl_	0	0	0	0.2	0.2	0.2	0.2	=J88=K88	=J88=L88	=J88=M88	Input_factor	Light	-1	The_fraction_photosynthetically_active_radiation_reflected_at_the_surface																																														0		fRefl	PARM	
