t	tintnext	sstore	sstored	stry	sdid	snext
321.679	0.746259	0.669332	0.68027			
322.348	0.68027	0.68027	0.747054			
323.028	0.747054	0.747054	0.793444			
323.775	0.793444	0.793444	0.766974			
324.569	0.766974	0.766974	0.717442			
325.336	0.717442	0.717442	0.720115			
326.053	0.720115	0.720115	0.782269			
326.773	0.782269	0.782269	0.831702			
327.556	0.831702	0.831702	0.816022			
328.387	0.816022	0.816022	0.7771			
329.203	0.7771	0.7771	0.780901			
329.98	0.780901	0.780901	0.831768			
330.761	0.831768	0.831768	0.870341			
331.593	0.870341	0.870341	0.863721			
332.463	0.863721	0.863721	0.846545			
333.327	0.846545	0.846545	0.859308			
334.174	0.859308	0.859308	0.894465			
335.033	0.894465	0.894465	0.916705			
335.928	0.916705	0.916705	0.919785			
336.844	0.919785	0.919785	0.925207			
337.764	0.925207	0.925207	0.945033			
338.689	0.945033	0.945033	0.965892			
339.634	0.965892	0.965892	0.978437			
340.6	0.978437	0.978437	0.99049			
341.579	0.99049	0.99049	1.0064			
342.569	1.0064	1.0064	1.02332			
343.575	1.02332	1.02332	1.03951			
344.599	1.03951	1.03951	1.05604			
345.638	1.05604	1.05604	1.0736			
346.694	1.0736	1.0736	1.09232			
347.768	1.09232	1.09232	1.11264			
348.86	1.11264	1.11264	1.13539			
349.973	1.13539	1.13539	1.16179			
351.108	1.16179	1.16179	1.19377			
352.27	1.19377	1.19377	1.23473			
353.464	1.23473	1.23473	1.29176			
354.699	1.29176	1.29176	1.38561			
355.99	1.38561	1.23365	1.25909			
357.224	1.25909	1.25909	1.16318			
358.483	1.16318	1.16318	1.06088			
359.646	1.06088	1.06088	1.07272			
360.707	1.07272	1.07272	1.19228			
361.78	1.19228	1.19228	1.27237			
362.972	1.27237	0.34978	1.39456			
363.322	1.39456	0.461054	1.6488			
363.783	1.6488	0.170598	0.852992			
363.954	0.852992	0.0391571	0.195785			
363.993	0.195785	0.043757	0.040037			
364.036	0.040037	0.040037	0.200185			
364.077	0.200185	0.200185	1.00093			
364.277	1.00093	0.351862	1.61801			
364.629	1.61801	0.293228	1.46614			
364.922	1.46614	0.0681666	0.340833			
364.99	0.340833	0.0537168	0.0485504			
365.044	0.0485504	0.0485504	0.242752			
365.092	0.242752	0.242752	1.21376			
365.335	1.21376	1.21376	1.72988			
366.549	1.72988	1.46506	1.52848			
368.014	1.52848	0.996822	1.1356			
369.011	1.1356	1.1356	1.28361			
370.146	1.28361	1.28361	1.22527			
371.43	1.22527	1.00877	1.05717			
372.439	1.05717	1.05717	1.19015			
373.496	1.19015	1.19015	1.23646			
374.686	1.23646	1.23646	1.11586			
375.922	1.11586	0.975022	1.00039			
376.897	1.00039	1.00039	1.16589			
377.898	1.16589	1.16589	1.27206			
379.064	1.27206	1.27206	1.15267			
380.336	1.15267	0.945369	0.991531			
381.281	0.991531	0.991531	1.18162			
382.273	1.18162	1.18162	1.28269			
383.454	1.28269	1.12609	1.15474			
384.58	1.15474	1.15474	1.09873			
385.735	1.09873	1.09873	1.02456			
386.834	1.02456	1.02456	1.02301			
387.858	1.02301	1.02301	1.10254			
388.881	1.10254	1.10254	1.16872			
389.984	1.16872	1.16872	1.12578			
391.153	1.12578	1.12578	1.02246			
392.278	1.02246	1.02246	0.986261			
393.301	0.986261	0.986261	1.06663			
394.287	1.06663	1.06663	1.1773			
395.354	1.1773	1.1773	1.16764			
396.531	1.16764	1.03658	1.05811			
397.568	1.05811	1.05811	1.10836			
398.626	1.10836	1.10836	1.12338			
399.734	1.12338	1.12338	1.07834			
400.857	1.07834	1.07834	1.02803			
401.936	1.02803	1.02803	1.03636			
402.964	1.03636	1.03636	1.10001			
404	1.10001	1.10001	1.14268			
405.1	1.14268	1.14268	1.10325			
406.243	1.10325	1.10325	1.02869			
407.346	1.02869	1.02869	1.01276			
408.375	1.01276	1.01276	1.08247			
409.388	1.08247	1.08247	1.16072			
410.47	1.16072	1.16072	1.14135			
411.631	1.14135	1.14135	1.04328			
412.772	1.04328	1.04328	0.990483			
413.815	0.990483	0.990483	1.05288			
414.806	1.05288	1.05288	1.1699			
415.859	1.1699	1.1699	1.19077			
417.029	1.19077	1.19077	1.07706			
418.219	1.07706	1.07706	0.975334			
419.297	0.975334	0.975334	1.01102			
420.272	1.01102	1.01102	1.16054			
421.283	1.16054	1.16054	1.24446			
422.443	1.24446	1.24446	1.13437			
423.688	1.13437	0.964003	0.998467			
424.652	0.998467	0.998467	1.17003			
425.65	1.17003	1.17003	1.27549			
426.82	1.27549	1.27549	1.15296			
428.096	1.15296	0.949072	0.993856			
429.045	0.993856	0.993856	1.18944			
430.039	1.18944	1.18944	1.30167			
431.228	1.30167	1.15014	1.17659			
432.378	1.17659	1.17659	1.1091			
433.555	1.1091	1.1091	1.03169			
434.664	1.03169	1.03169	1.04084			
435.696	1.04084	1.04084	1.13443			
436.737	1.13443	1.13443	1.19908			
437.871	1.19908	1.19908	1.13968			
439.07	1.13968	1.13968	1.02931			
440.21	1.02931	1.02931	1.00443			
441.239	1.00443	1.00443	1.10146			
442.244	1.10146	1.10146	1.20987			
443.345	1.20987	1.20987	1.17868			
444.555	1.17868	1.05742	1.07541			
445.612	1.07541	1.07541	1.13074			
446.688	1.13074	1.13074	1.15782			
447.818	1.15782	1.15782	1.12639			
448.976	1.12639	1.12639	1.07752			
450.103	1.07752	1.07752	1.07943			
451.18	1.07943	1.07943	1.14511			
452.26	1.14511	1.14511	1.2085			
453.405	1.2085	1.2085	1.16539			
454.613	1.16539	0.952831	1.00093			
455.566	1.00093	1.00093	1.12289			
456.567	1.12289	1.12289	1.1682			
457.69	1.1682	1.1682	1.05612			
458.858	1.05612	0.915378	0.941674			
459.773	0.941674	0.941674	1.11377			
460.715	1.11377	1.11377	1.2612			
461.829	1.2612	1.2612	1.1456			
463.09	1.1456	0.859652	0.929336			
463.95	0.929336	0.929336	1.17525			
464.879	1.17525	1.17525	1.27886			
466.054	1.27886	1.01287	1.07687			
467.067	1.07687	1.07687	1.06759			
468.144	1.06759	1.06759	0.982023			
469.212	0.982023	0.982023	0.920285			
470.194	0.920285	0.920285	0.957214			
471.114	0.957214	0.957214	1.06189			
472.071	1.06189	1.06189	1.10371			
473.133	1.10371	1.10371	1.00551			
474.237	1.00551	0.87878	0.901516			
475.116	0.901516	0.901516	1.04599			
476.017	1.04599	1.04599	1.14915			
477.063	1.14915	1.14915	1.04323			
478.212	1.04323	0.836802	0.884307			
479.049	0.884307	0.884307	1.06965			
479.933	1.06965	1.06965	1.18122			
481.003	1.18122	1.01703	1.04988			
