Dag	Qev	Qin	Ptotaal	Ntotaal	NP_ratio
250	1.736	22.98462815	0.011934825	0.554972569	67.3659279
251	2.728	24.38462815	0.011934825	0.554972569	67.3659279
252	2.976	20.88462815	0.011934825	0.554972569	67.3659279
253	1.86	19.08462815	0.011934825	0.554972569	67.3659279
254	1.364	18.48462815	0.011934825	0.554972569	67.3659279
255	1.364	18.98462815	0.011934825	0.554972569	67.3659279
256	1.984	27.48462815	0.011934825	0.554972569	67.3659279
257	2.108	17.88462815	0.011934825	0.554972569	67.3659279
258	2.108	31.98462815	0.011934825	0.554972569	67.3659279
259	1.984	21.48462815	0.011934825	0.554972569	67.3659279
260	1.24	41.58462815	0.011934825	0.554972569	67.3659279
261	1.488	17.78462815	0.011934825	0.554972569	67.3659279
262	0.496	35.38462815	0.011934825	0.554972569	67.3659279
263	0.992	17.88462815	0.011934825	0.554972569	67.3659279
264	2.976	17.78462815	0.011934825	0.554972569	67.3659279
265	1.364	30.28462815	0.011934825	0.554972569	67.3659279
266	2.356	17.88462815	0.015026683	0.513175845	45.29339667
267	1.116	17.88462815	0.012447078	0.548047781	62.63094673
268	1.612	17.78462815	0.011934825	0.554972569	67.3659279
269	1.86	18.88462815	0.011934825	0.554972569	67.3659279
270	1.364	20.98462815	0.011934825	0.554972569	67.3659279
271	2.604	17.78462815	0.011934825	0.554972569	67.3659279
272	1.984	19.48462815	0.011934825	0.554972569	67.3659279
273	1.984	19.38462815	0.011934825	0.554972569	67.3659279
274	1.116	13.25127012	0.010250152	0.081921336	12.50038477
275	0.496	20.65127012	0.009547417	0.077980305	13.3282113
276	1.984	11.95127012	0.009547417	0.077980305	13.3282113
277	1.488	12.05127012	0.009547417	0.077980305	13.3282113
278	1.984	11.95127012	0.009547417	0.077980305	13.3282113
279	1.364	25.95127012	0.009547417	0.077980305	13.3282113
280	1.612	12.25127012	0.009547417	0.077980305	13.3282113
281	1.488	12.25127012	0.009547417	0.077980305	13.3282113
282	1.24	14.35127012	0.009547417	0.077980305	13.3282113
283	1.488	11.95127012	0.009547417	0.077980305	13.3282113
284	0.744	14.45127012	0.009547417	0.077980305	13.3282113
285	1.984	11.95127012	0.009547417	0.077980305	13.3282113
286	1.736	11.95127012	0.009547417	0.077980305	13.3282113
287	1.364	12.05127012	0.009547417	0.077980305	13.3282113
288	1.488	12.75127012	0.009547417	0.077980305	13.3282113
289	1.86	11.95127012	0.009547417	0.077980305	13.3282113
290	1.612	11.95127012	0.010250152	0.081921336	12.50038477
291	1.364	14.95127012	0.010250152	0.081921336	12.50038477
292	1.116	14.05127012	0.010338384	0.082416154	12.40882459
293	1.364	11.95127012	0.009547417	0.077980305	13.3282113
294	0.62	12.55127012	0.009547417	0.077980305	13.3282113
295	0.248	11.95127012	0.009547417	0.077980305	13.3282113
296	0.248	23.75127012	0.009547417	0.077980305	13.3282113
297	0.868	12.95127012	0.009547417	0.077980305	13.3282113
298	1.116	11.95127012	0.009547417	0.077980305	13.3282113
299	1.24	11.95127012	0.009547417	0.077980305	13.3282113
300	0.992	13.45127012	0.009547417	0.077980305	13.3282113
301	1.24	11.95127012	0.009547417	0.077980305	13.3282113
302	0.496	11.95127012	0.009547417	0.077980305	13.3282113
303	1.364	11.95127012	0.009547417	0.077980305	13.3282113
304	0.744	17.75127012	0.009547417	0.077980305	13.3282113
305	0.992	11.95127012	0.006041711	0.077159651	32.90299656
306	0.992	11.95127012	0.006041711	0.077159651	32.90299656
307	0.496	11.95127012	0.006041711	0.077159651	32.90299656
308	0.372	14.95127012	0.006041711	0.077159651	32.90299656
309	0.868	11.95127012	0.006138486	0.078696504	32.22836636
310	0.62	14.65127012	0.006041711	0.077159651	32.90299656
311	0.372	17.95127012	0.006041711	0.077159651	32.90299656
312	0.372	27.15127012	0.006041711	0.077159651	32.90299656
313	0.62	18.65127012	0.006041711	0.077159651	32.90299656
314	0.496	11.95127012	0.006041711	0.077159651	32.90299656
315	0.248	12.35127012	0.006041711	0.077159651	32.90299656
316	0.248	16.25127012	0.006041711	0.077159651	32.90299656
317	0.62	13.15127012	0.006041711	0.077159651	32.90299656
318	0.868	11.95127012	0.006188309	0.079487723	31.90148088
319	0.868	38.16799123	0.016888879	0.254417457	19.28539757
320	0.248	69.22329134	0.029696635	0.46371398	17.83516106
321	0.372	74.45317604	0.031901875	0.499750662	17.7183698
322	0.372	11.95127012	0.006779826	0.088881412	28.82783767
323	0.496	12.05127012	0.006041711	0.077159651	32.90299656
324	0.248	11.95127012	0.006041711	0.077159651	32.90299656
325	0.372	20.75127012	0.006041711	0.077159651	32.90299656
326	0.248	18.65127012	0.006041711	0.077159651	32.90299656
327	0.496	16.75127012	0.006041711	0.077159651	32.90299656
328	0.124	14.95127012	0.006041711	0.077159651	32.90299656
329	0.248	16.35127012	0.006041711	0.077159651	32.90299656
330	0.372	13.15127012	0.006041711	0.077159651	32.90299656
331	0.62	15.15127012	0.006041711	0.077159651	32.90299656
332	0.496	12.65127012	0.006041711	0.077159651	32.90299656
333	0.124	24.95127012	0.006041711	0.077159651	32.90299656
334	0.124	21.35127012	0.006041711	0.077159651	32.90299656
335	0.124	15.25127012	0.005822604	0.07921527	37.26097684
336	0.248	13.35127012	0.005822604	0.07921527	37.26097684
337	0.248	13.25127012	0.00589875	0.080267188	36.45022902
338	0.124	18.35127012	0.005822604	0.07921527	37.26097684
339	0.372	15.65127012	0.005822604	0.07921527	37.26097684
340	0.496	11.95127012	0.005822604	0.07921527	37.26097684
341	0.496	11.95127012	0.005822604	0.07921527	37.26097684
342	0.496	11.95127012	0.005822604	0.07921527	37.26097684
343	0.248	11.95127012	0.005822604	0.07921527	37.26097684
344	0.372	11.95127012	0.005822604	0.07921527	37.26097684
345	0.248	11.95127012	0.005822604	0.07921527	37.26097684
346	0.124	11.95127012	0.005822604	0.07921527	37.26097684
347	0.248	11.95127012	0.005822604	0.07921527	37.26097684
348	0.372	11.95127012	0.005822604	0.07921527	37.26097684
349	0.124	12.05127012	0.005822604	0.07921527	37.26097684
350	0.372	11.95127012	0.005822604	0.07921527	37.26097684
351	0.372	12.15127012	0.005822604	0.07921527	37.26097684
352	0.124	12.25127012	0.005822604	0.07921527	37.26097684
353	0.124	19.15127012	0.005822604	0.07921527	37.26097684
354	0.372	13.05127012	0.005822604	0.07921527	37.26097684
355	0	21.75127012	0.005822604	0.07921527	37.26097684
356	0.124	16.95127012	0.005822604	0.07921527	37.26097684
357	0.62	12.35127012	0.005822604	0.07921527	37.26097684
358	0	16.45127012	0.005822604	0.07921527	37.26097684
359	0.496	18.75127012	0.005822604	0.07921527	37.26097684
360	0.372	16.05127012	0.005822604	0.07921527	37.26097684
361	0.124	24.35127012	0.005822604	0.07921527	37.26097684
362	0.248	18.55127012	0.005822604	0.07921527	37.26097684
363	0.248	18.55127012	0.005822604	0.07921527	37.26097684
364	0.248	18.45127012	0.006427737	0.087574884	32.06590245
365	0.62	12.25127012	0.006458666	0.088002153	31.86152404
