lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
60	0	1	0	0	_cNLoadS_	gN/m2/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	N_fertilizer_to_sediment	-	-1	N_fertilizer_to_sediment																																																cNLoadS	PARM
61	0	0	0	0	_fNH4LoadS_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	NH4_fraction_of_N_fertilizer_to_sediment	-	-1	NH4_fraction_of_N_fertilizer_to_sediment																																																fNH4oadS	PARM
62	0	0	0	0	_cPO4Ground_	gP/m3	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	PO4_concentration_in_groundwater	-	-1	PO4_concentration_in_groundwater																																																cPO4ound	PARM
63	0	0	0	0	_cNH4Ground_	gN/m3	0	0	1	1	1	1	TRUE	TRUE	TRUE	NH4_concentration_in_groundwater	-	-1	NH4_concentration_in_groundwater																																																cNH4ound	PARM
64	0	1	0	0	_cNO3Ground_	gN/m3	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	NO3_concentration_in_groundwater	-	-1	NO3_concentration_in_groundwater																																																cNO3ound	PARM
65	0	0	0	0	_cQIn_	mm/day	0	0	30	30	30	30	TRUE	TRUE	TRUE	standard_water_inflow_if_not_measured	-	-1	standard_water_inflow_if_not_measured																																																cQIn	dummy
66	0	0	0	0	_cQInSum_	mm/day	0	0	30	30	30	30	TRUE	TRUE	TRUE	summer_water_inflow_if_not_measured	-	-1	summer_water_inflow_if_not_measured																																																cQInSum	dummy
67	0	0	0	0	_cQInWin_	mm/day	0	0	30	30	30	30	TRUE	TRUE	TRUE	winter_water_inflow_if_not_measured	-	-1	winter_water_inflow_if_not_measured																																																cQInWin	dummy
68	0	0	0	0	_cDepthWMax_	m	0	0	3	3	3	3	TRUE	TRUE	TRUE	maximum_water_depth	-	-1	maximum_water_depth																																																cDepWMax	dummy
69	0	0	0	0	_cQInExtraApril1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	extra_water_inflow_at_start_of_summer	-	-1	extra_water_inflow_at_start_of_summer																																																cQInril1	dummy
70	0	0	0	0	_cQInExtraOct1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	extra_water_inflow_at_start_of_winter	-	-1	extra_water_inflow_at_start_of_winter																																																cQInOct1	dummy
71	0	0	0	0	_cQOutExtraApril1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	extra_water_outflow_at_start_of_summer	-	-1	extra_water_outflow_at_start_of_summer																																																cQOuril1	dummy
72	0	0	0	0	_cQOutExtraOct1_	mm/day	0	0	0	0	0	0	TRUE	TRUE	TRUE	extra_water_outflow_at_start_of_winter	-	-1	extra_water_outflow_at_start_of_winter																																																cQOuOct1	dummy
73	0	0	0	0	_cQEvAve_	mm/day	0	0	1.5	1.5	1.5	1.5	TRUE	TRUE	TRUE	average_evaporation	-	-1	average_evaporation																																																cQEvAve	dummy
74	0	0	0	0	_cQEvVar_	mm/day	0	0	1.3	1.3	1.3	1.3	TRUE	TRUE	TRUE	variation_in_evaporation	-	-1	variation_in_evaporation																																																cQEvVar	dummy
75	0	0	0	0	_cPLoad_	gP/m2/day	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	P_loading_if_not_measured	-	-1	P_loading_if_not_measured																																																cPLoad	dummy
76	0	0	0	0	_cPLoadSum_	gP/m2/day	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	summer_P_loading_if_not_measured	-	-1	summer_P_loading_if_not_measured																																																cPLodSum	dummy
77	0	0	0	0	_cPLoadWin_	gP/m2/day	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	winter_P_loading_if_not_measured	-	-1	winter_P_loading_if_not_measured																																																cPLodWin	dummy
78	0	0	0	0	_fPO4In_	-	0	0	0.8	0.8	0.8	0.8	TRUE	TRUE	TRUE	fraction_PO4_in_input_(if_PO4_input_not_measured)	-	-1	fraction_PO4_in_input_(if_PO4_input_not_measured)																																																fPO4In	dummy
79	0	0	0	0	_fPhytInWin_	-	0	0	0.001	0.001	0.001	0.001	TRUE	TRUE	TRUE	minimum_algal_fraction_in_organic_P_input	-	-1	minimum_algal_fraction_in_organic_P_input																																																fPhynWin	dummy
