RunId	Time	_sDDetS_	_sDDetW_	_sDHumS_	_sDIMS_	_sDIMW_	_sNH4S_	_sNH4W_	_sNO3S_	_sNO3W_	_sO2W_	_sPAIMS_	_sPAIMW_	_sPO4S_	_sPO4W_	_sDPhytW_	_sDPhytS_	_sDElod_	_sDChar_	_sDCera_	_sDLemn_	_sDNymp_	_sDHelo_	_oChla_	_aSecchi_	-1
0	47	366.709	1.7386	3274.05	32694.6	0.616298	0.126149	1.91144	0.106119	3.16194	12.8672	15.4324	6.90821e-006	0.195761	0.701291	0.0169581	0.0523978	1.09606	0.737736	1.04453	0.861109	0.714272	0.801796	0.180989	0.5	-1
0	48	366.776	1.73804	3274.15	32694.3	0.615941	0.126551	1.91365	0.106416	3.17888	12.8482	15.3745	6.91417e-006	0.19522	0.703268	0.0164966	0.0489954	1.10651	0.73627	1.04986	0.864724	0.708341	0.797863	0.175926	0.5	-1
0	49	366.848	1.7374	3274.25	32694	0.615526	0.126941	1.91547	0.106689	3.19627	12.8261	15.3117	6.91843e-006	0.194648	0.705211	0.0160948	0.0456001	1.11849	0.734937	1.05596	0.869124	0.701935	0.793633	0.171482	0.5	-1
0	50	366.907	1.73684	3274.33	32693.7	0.61516	0.12723	1.91654	0.106879	3.20996	12.8067	15.2598	6.92025e-006	0.19418	0.706673	0.015834	0.0430067	1.12895	0.734038	1.06128	0.873167	0.696647	0.790158	0.168475	0.5	-1
0	51	366.966	1.73625	3274.42	32693.5	0.614763	0.127498	1.91724	0.10704	3.22336	12.7856	15.2064	6.92067e-006	0.193711	0.708045	0.0156301	0.0405421	1.14021	0.733312	1.06701	0.877696	0.69124	0.78662	0.166172	0.5	-1
0	52	367.03	1.73557	3274.52	32693.2	0.614302	0.127758	1.91758	0.10718	3.23738	12.7612	15.148	6.91954e-006	0.193212	0.709413	0.0154767	0.0380564	1.15319	0.732749	1.07361	0.883124	0.685333	0.782774	0.164409	0.5	-1
0	53	367.03	1.73557	3274.52	32693.2	0.614302	0.127758	1.91758	0.10718	3.23738	12.7612	15.148	6.91954e-006	0.193212	0.709413	0.0154767	0.0380564	1.15319	0.732749	1.07361	0.883124	0.685333	0.782774	0.164409	0.5	-1
0	54	367.095	1.73484	3274.62	32692.9	0.613795	0.127996	1.91745	0.107287	3.25129	12.7343	15.087	6.91664e-006	0.192706	0.710701	0.015391	0.0356917	1.16746	0.732426	1.08085	0.889334	0.679196	0.778799	0.163351	0.5	-1
0	55	367.147	1.73423	3274.7	32692.6	0.613362	0.128166	1.917	0.107345	3.26211	12.7114	15.0374	6.91301e-006	0.192301	0.71165	0.0153753	0.0339321	1.17964	0.732365	1.08703	0.894819	0.674227	0.775596	0.163064	0.5	-1
0	56	367.199	1.73359	3274.79	32692.4	0.612902	0.128317	1.91623	0.10738	3.27273	12.687	14.9869	6.90827e-006	0.1919	0.712535	0.0154079	0.03228	1.19261	0.732493	1.09359	0.900843	0.669175	0.772358	0.163307	0.5	-1
0	57	367.257	1.73284	3274.88	32692.1	0.612355	0.128464	1.91499	0.107389	3.28431	12.6582	14.9295	6.90167e-006	0.191459	0.713448	0.0155036	0.0305707	1.20802	0.732874	1.10139	0.908234	0.663464	0.768715	0.164193	0.5	-1
0	58	367.318	1.73202	3274.99	32691.8	0.611735	0.128596	1.91322	0.107366	3.29632	12.6257	14.8674	6.89312e-006	0.190999	0.714336	0.0156775	0.0289085	1.22558	0.733575	1.11025	0.916943	0.657307	0.764813	0.165892	0.5	-1
0	59	367.318	1.73202	3274.99	32691.8	0.611735	0.128596	1.91322	0.107366	3.29632	12.6257	14.8674	6.89312e-006	0.190999	0.714336	0.0156775	0.0289085	1.22558	0.733575	1.11025	0.916943	0.657307	0.764813	0.165892	0.5	-1
0	60	367.363	1.73139	3275.07	32691.6	0.611249	0.128677	1.9116	0.107325	3.30508	12.6001	14.8205	6.88565e-006	0.190656	0.714942	0.015858	0.0277752	1.23948	0.734307	1.11726	0.924046	0.65267	0.761892	0.16779	0.5	-1
0	61	367.408	1.73072	3275.16	32691.4	0.610724	0.128746	1.90964	0.107264	3.31393	12.5726	14.7715	6.87709e-006	0.19031	0.715521	0.0160922	0.0267009	1.25458	0.73526	1.12486	0.931963	0.647848	0.758872	0.170179	0.5	-1
0	62	367.46	1.72992	3275.26	32691.1	0.61008	0.128807	1.90699	0.107166	3.32405	12.539	14.7138	6.86599e-006	0.189916	0.716139	0.0164309	0.0255694	1.27319	0.736639	1.13421	0.942003	0.642182	0.755344	0.173599	0.5	-1
0	63	367.509	1.72915	3275.36	32690.8	0.60944	0.128846	1.90411	0.107048	3.33346	12.5056	14.6583	6.85433e-006	0.189549	0.716673	0.0168228	0.0246147	1.29195	0.738227	1.14361	0.952413	0.636759	0.751991	0.177669	0.5	-1
0	64	367.557	1.72837	3275.46	32690.5	0.608762	0.128867	1.90083	0.106903	3.34279	12.4705	14.6016	6.84146e-006	0.189188	0.717163	0.0172944	0.0237687	1.312	0.740121	1.15365	0.963865	0.631244	0.748606	0.182548	0.5	-1
0	65	367.599	1.72764	3275.55	32690.3	0.60811	0.12887	1.89746	0.106748	3.35125	12.4367	14.5487	6.8286e-006	0.18886	0.717573	0.0178041	0.0230926	1.33158	0.742141	1.16342	0.975347	0.626119	0.745482	0.187897	0.5	-1
0	66	367.637	1.72697	3275.64	32690.1	0.607496	0.128859	1.89413	0.10659	3.35881	12.4051	14.5004	6.81619e-006	0.188569	0.717911	0.0183328	0.022568	1.35021	0.744204	1.1727	0.986549	0.621456	0.74266	0.193479	0.5	-1
0	67	367.673	1.72632	3275.73	32689.9	0.606867	0.128835	1.89056	0.106417	3.36621	12.3728	14.4522	6.80319e-006	0.188288	0.718217	0.0189262	0.0221306	1.36956	0.746477	1.18232	0.998463	0.616814	0.739869	0.199684	0.5	-1
0	68	367.711	1.72561	3275.83	32689.6	0.606153	0.128795	1.88634	0.10621	3.37421	12.3363	14.3989	6.78817e-006	0.187988	0.718522	0.0196638	0.0217466	1.39183	0.749237	1.19336	1.01251	0.611709	0.736823	0.207307	0.5	-1
