t	tintnext	sstore	sstored	stry	sdid	snext
366.477	2.52281	2.52281	2.58405			
369	2.58405	1.05793	1.41381			
370.058	1.41381	1.41381	1.60598			
371.472	1.60598	1.24261	1.33028			
372.715	1.33028	1.33028	1.27882			
374.045	1.27882	1.14296	1.16294			
375.188	1.16294	1.16294	1.26599			
376.351	1.26599	1.26599	1.33742			
377.617	1.33742	1.33742	1.27162			
378.954	1.27162	1.27162	1.1446			
380.226	1.1446	1.1446	1.11444			
381.37	1.11444	1.11444	1.23418			
382.485	1.23418	1.23418	1.38942			
383.719	1.38942	1.38942	1.36829			
385.108	1.36829	1.1616	1.20334			
386.27	1.20334	1.20334	1.30407			
387.473	1.30407	1.30407	1.34179			
388.777	1.34179	1.34179	1.25141			
390.119	1.25141	1.25141	1.14125			
391.371	1.14125	1.14125	1.14725			
392.512	1.14725	1.14725	1.28265			
393.659	1.28265	1.28265	1.40206			
394.942	1.40206	1.40206	1.32727			
396.344	1.32727	1.12571	1.16646			
397.47	1.16646	1.16646	1.32037			
398.636	1.32037	1.32037	1.4082			
399.956	1.4082	1.4082	1.28406			
401.365	1.28406	1.08446	1.12515			
402.449	1.12515	1.12515	1.32881			
403.574	1.32881	1.32881	1.46819			
404.903	1.46819	1.31034	1.33521			
406.213	1.33521	1.33521	1.22929			
407.549	1.22929	1.22929	1.11823			
408.778	1.11823	1.11823	1.13568			
409.896	1.13568	1.13568	1.28076			
411.032	1.28076	1.28076	1.39069			
412.313	1.39069	1.39069	1.29147			
413.703	1.29147	1.07963	1.12437			
414.783	1.12437	1.12437	1.30574			
415.907	1.30574	1.30574	1.41318			
417.213	1.41318	1.26042	1.28462			
418.473	1.28462	1.28462	1.21051			
419.758	1.21051	1.21051	1.12098			
420.969	1.12098	1.12098	1.12279			
422.09	1.12279	1.12279	1.22534			
423.212	1.22534	1.22534	1.31276			
424.438	1.31276	1.31276	1.25124			
425.75	1.25124	1.09589	1.12326			
426.846	1.12326	1.12326	1.23908			
427.97	1.23908	1.23908	1.30481			
429.209	1.30481	1.30481	1.20981			
430.513	1.20981	1.05688	1.08388			
431.57	1.08388	1.08388	1.23555			
432.654	1.23555	1.23555	1.33924			
433.89	1.33924	1.33924	1.22766			
435.229	1.22766	1.0198	1.06317			
436.249	1.06317	1.06317	1.25745			
437.312	1.25745	1.25745	1.25277			
438.569	1.25277	1.25277	1.19283			
439.822	1.19283	1.19283	1.1644			
441.015	1.1644	1.1644	1.1503			
442.179	1.1503	1.1503	1.17352			
443.33	1.17352	1.17352	1.21071			
444.503	1.21071	1.21071	1.21237			
445.714	1.21237	1.21237	1.16753			
446.926	1.16753	1.16753	1.10678			
448.094	1.10678	1.10678	1.10347			
449.201	1.10347	1.10347	1.17087			
450.304	1.17087	1.17087	1.23934			
451.475	1.23934	1.23934	1.23762			
452.714	1.23762	1.23762	1.19121			
453.952	1.19121	1.19121	1.18619			
455.143	1.18619	1.18619	1.26261			
456.329	1.26261	1.26261	1.36841			
457.592	1.36841	1.36841	1.39263			
458.96	1.39263	1.39263	1.28302			
460.353	1.28302	1.1422	1.16315			
461.495	1.16315	1.16315	1.30159			
462.658	1.30159	1.30159	1.32546			
463.96	1.32546	1.14592	1.18037			
465.106	1.18037	1.18037	1.19183			
466.286	1.19183	1.19183	1.14015			
467.478	1.14015	1.14015	1.06795			
468.618	1.06795	1.06795	1.04853			
469.686	1.04853	1.04853	1.09869			
470.735	1.09869	1.09869	1.15256			
471.833	1.15256	1.15256	1.12359			
472.986	1.12359	1.12359	1.02847			
474.109	1.02847	1.02847	0.974067			
475.138	0.974067	0.974067	1.02296			
476.112	1.02296	1.02296	1.12588			
477.135	1.12588	1.12588	1.14601			
478.261	1.14601	1.14601	1.03187			
479.407	1.03187	0.916026	0.934141			
480.323	0.934141	0.934141	1.08815			
481.257	1.08815	1.08815	1.20764			
482.345	1.20764	1.20764	1.09923			
483.553	1.09923	0.869731	0.922413			
484.423	0.922413	0.5686	1.19336			
484.991	1.19336	0.742548	0.704049			
485.734	0.704049	0.257645	1.28823			
485.991	1.28823	0.98355	0.899167			
486.975	0.899167	0.899167	2.95135			
487.874	2.95135	2.34795	2.4607			
490.222	2.4607	1.00354	0.945038			
491.226	0.945038	0.945038	0.953906			
492.171	0.953906	0.953906	1.04141			
493.125	1.04141	1.04141	1.11627			
494.166	1.11627	1.11627	1.07551			
495.282	1.07551	0.921614	0.955163			
496.204	0.955163	0.718733	0.774914			
496.923	0.774914	0.658947	0.680011			
497.581	0.680011	0.680011	0.635968			
498.261	0.635968	0.635968	0.63614			
498.897	0.63614	0.63614	0.65248			
499.534	0.65248	0.65248	0.67546			
500.186	0.67546	0.67546	0.697154			
500.862	0.697154	0.697154	0.71478			
501.559	0.71478	0.71478	0.728683			
502.273	0.728683	0.728683	0.740059			
503.002	0.740059	0.740059	0.749725			
503.742	0.749725	0.749725	0.758038			
504.492	0.758038	0.758038	0.765091			
505.25	0.765091	0.765091	0.770855			
506.015	0.770855	0.770855	0.775254			
506.786	0.775254	0.775254	0.778212			
507.561	0.778212	0.778212	0.779702			
508.339	0.779702	0.779702	0.779705			
509.119	0.779705	0.779705	0.778322			
509.899	0.778322	0.778322	0.773499			
510.677	0.773499	0.773499	0.772677			
511.451	0.772677	0.772677	0.771508			
512.223	0.771508	0.771508	0.76702			
512.995	0.76702	0.76702	0.75977			
513.762	0.75977	0.75977	0.752913			
514.522	0.752913	0.752913	0.748539			
515.275	0.748539	0.748539	0.745443			
516.023	0.745443	0.745443	0.740691			
516.768	0.740691	0.740691	0.733276			
517.509	0.733276	0.733276	0.725605			
518.242	0.725605	0.725605	0.720829			
518.968	0.720829	0.720829	0.718958			
519.689	0.718958	0.718958	0.71643			
520.408	0.71643	0.71643	0.710164			
521.124	0.710164	0.710164	0.701701			
521.834	0.701701	0.701701	0.695962			
522.536	0.695962	0.695962	0.695388			
523.232	0.695388	0.695388	0.696313			
523.927	0.696313	0.696313	0.692505			
524.624	0.692505	0.692505	0.682962			
525.316	0.682962	0.682962	0.674316			
525.999	0.674316	0.674316	0.673439			
526.674	0.673439	0.673439	0.678562			
527.347	0.678562	0.678562	0.679689			
528.026	0.679689	0.679689	0.670039			
528.705	0.670039	0.670039	0.656118			
529.375	0.656118	0.656118	0.651426			
530.031	0.651426	0.651426	0.660145			
530.683	0.660145	0.660145	0.6699			
531.343	0.6699	0.6699	0.663868			
532.013	0.663868	0.663868	0.643157			
532.677	0.643157	0.643157	0.62893			
533.32	0.62893	0.62893	0.637525			
533.949	0.637525	0.637525	0.659507			
534.586	0.659507	0.659507	0.665017			
535.246	0.665017	0.665017	0.639292			
535.911	0.639292	0.639292	0.608128			
536.55	0.608128	0.608128	0.607768			
537.158	0.607768	0.607768	0.642177			
537.766	0.642177	0.642177	0.671608			
538.408	0.671608	0.671608	0.650207			
539.08	0.650207	0.650207	0.595247			
539.73	0.595247	0.595247	0.570763			
540.325	0.570763	0.570763	0.609347			
540.896	0.609347	0.609347	0.675588			
541.505	0.675588	0.675588	0.681603			
542.181	0.681603	0.599385	0.613867			
