RunId	Time	_sPO4W_	_sO2W_	_sDDiatW_	_sDZoo_	_sDFiAd_	_sDVeg_	_sDBent_	_oPTotW_	_oChla_	_aSecchi_	_aDError_	_aNError_	_aPError_	-1
0	1603	0.185651	11.3925	1.73843	0.690104	2.76062	0.3813	1.6911	0.243598	24.8371	0.6347	1.45519e-011	-3.97904e-013	1.77636e-014	-1
0	1604	0.18294	11.6513	2.06792	0.66829	2.75986	0.389486	1.66927	0.244753	28.8808	0.601916	1.45519e-011	-4.26326e-013	1.42109e-014	-1
0	1605	0.179719	11.9303	2.43736	0.654617	2.75837	0.397289	1.64746	0.245731	33.3792	0.569748	1.45519e-011	-4.26326e-013	1.42109e-014	-1
0	1606	0.175701	12.2404	2.87034	0.648714	2.75586	0.405251	1.62383	0.246592	38.7005	0.5362	2.18279e-011	-3.97904e-013	1.42109e-014	-1
0	1607	0.171032	12.5512	3.33687	0.651727	2.75223	0.412933	1.59934	0.24726	44.6103	0.503343	1.45519e-011	-3.97904e-013	1.06581e-014	-1
0	1608	0.167047	12.7736	3.70189	0.660047	2.74855	0.4186	1.57993	0.247623	49.5488	0.478609	1.45519e-011	-3.97904e-013	7.10543e-015	-1
0	1609	0.16288	12.9599	4.04598	0.672891	2.74409	0.423928	1.56044	0.247813	54.2198	0.456934	2.18279e-011	-3.69482e-013	1.06581e-014	-1
0	1610	0.158216	13.1028	4.37494	0.691013	2.73819	0.429414	1.53895	0.247844	58.9002	0.436345	2.18279e-011	-3.69482e-013	1.42109e-014	-1
0	1611	0.153462	13.1562	4.62845	0.71217	2.73087	0.434747	1.5166	0.247708	62.9838	0.418584	1.45519e-011	-3.69482e-013	1.06581e-014	-1
0	1612	0.150109	13.1166	4.7369	0.72759	2.72453	0.438532	1.49993	0.247516	65.3333	0.407661	1.45519e-011	-3.69482e-013	1.06581e-014	-1
0	1613	0.146994	12.9987	4.76198	0.740761	2.71731	0.442244	1.48308	0.247298	66.7372	0.399668	2.18279e-011	-3.69482e-013	1.06581e-014	-1
0	1614	0.143875	12.7732	4.68405	0.749809	2.70798	0.4464	1.46395	0.24708	67.2352	0.393647	2.18279e-011	-3.69482e-013	1.42109e-014	-1
0	1615	0.141294	12.4903	4.52114	0.749301	2.69775	0.450424	1.4455	0.246968	66.8108	0.390209	1.45519e-011	-3.41061e-013	1.42109e-014	-1
0	1616	0.139325	12.2304	4.34331	0.739619	2.68795	0.453929	1.42973	0.247012	66.0462	0.388453	2.18279e-011	-3.41061e-013	1.06581e-014	-1
0	1617	0.137484	11.987	4.16234	0.721018	2.67733	0.457441	1.41428	0.247218	65.2836	0.387158	2.18279e-011	-3.41061e-013	1.42109e-014	-1
0	1618	0.135591	11.7705	3.99397	0.693466	2.66558	0.461053	1.39878	0.247608	64.7427	0.385726	2.91038e-011	-2.84217e-013	1.06581e-014	-1
0	1619	0.133597	11.594	3.85493	0.659219	2.65303	0.464647	1.38368	0.248179	64.591	0.383855	1.45519e-011	-3.12639e-013	1.06581e-014	-1
0	1620	0.131548	11.4628	3.75424	0.622885	2.64046	0.468006	1.36978	0.248881	64.871	0.38153	2.18279e-011	-3.12639e-013	7.10543e-015	-1
0	1621	0.129455	11.3686	3.68727	0.587539	2.62816	0.471083	1.35714	0.24966	65.5199	0.378842	1.45519e-011	-3.12639e-013	1.06581e-014	-1
0	1622	0.127191	11.2988	3.6451	0.553012	2.61553	0.474043	1.34496	0.250523	66.51	0.375739	1.45519e-011	-3.12639e-013	1.06581e-014	-1
0	1623	0.12458	11.2467	3.62375	0.518577	2.60179	0.477052	1.33248	0.251508	67.8972	0.372045	1.45519e-011	-2.84217e-013	1.06581e-014	-1
0	1624	0.1216	11.2115	3.62315	0.485986	2.58705	0.480045	1.31982	0.252604	69.6969	0.36776	1.45519e-011	-3.12639e-013	1.06581e-014	-1
0	1625	0.118488	11.1928	3.63977	0.458568	2.57257	0.482752	1.30803	0.253705	71.7475	0.363259	7.27596e-012	-2.84217e-013	1.06581e-014	-1
0	1626	0.115463	11.186	3.66643	0.437201	2.55926	0.485045	1.29765	0.254724	73.8476	0.358917	1.45519e-011	-2.84217e-013	1.06581e-014	-1
0	1627	0.1124	11.1866	3.69982	0.419839	2.54645	0.487077	1.28803	0.255683	76.0089	0.354652	7.27596e-012	-2.84217e-013	7.10543e-015	-1
0	1628	0.108945	11.1931	3.74192	0.404321	2.53266	0.48907	1.27805	0.256675	78.4401	0.350043	7.27596e-012	-2.84217e-013	7.10543e-015	-1
0	1629	0.104903	11.2054	3.79395	0.390404	2.51731	0.491054	1.26736	0.257733	81.2776	0.34487	1.45519e-011	-2.55795e-013	1.06581e-014	-1
0	1630	0.101153	11.2194	3.84283	0.380617	2.50369	0.492602	1.25822	0.258652	83.9737	0.340125	1.45519e-011	-2.55795e-013	1.06581e-014	-1
0	1631	0.0971636	11.2356	3.8941	0.372716	2.48978	0.49398	1.2492	0.259523	86.7651	0.335365	1.45519e-011	-2.55795e-013	1.42109e-014	-1
0	1632	0.092888	11.2533	3.94718	0.36645	2.47543	0.495181	1.24022	0.260364	89.7154	0.330481	1.45519e-011	-2.55795e-013	1.06581e-014	-1
0	1633	0.088477	11.2712	3.99925	0.361802	2.46115	0.496153	1.2316	0.261143	92.7265	0.32564	2.18279e-011	-2.27374e-013	1.42109e-014	-1
0	1634	0.0798349	11.3033	4.09217	0.356453	2.43445	0.49737	1.21632	0.262436	98.5116	0.316699	2.18279e-011	-2.27374e-013	1.06581e-014	-1
0	1635	0.0753679	11.3178	4.13526	0.355052	2.42121	0.497681	1.20914	0.26299	101.406	0.31239	2.91038e-011	-2.27374e-013	1.42109e-014	-1
0	1636	0.0705471	11.3318	4.17804	0.354256	2.40726	0.497799	1.20186	0.26351	104.46	0.307952	2.18279e-011	-1.98952e-013	1.42109e-014	-1
0	1637	0.0655119	11.3444	4.21874	0.354013	2.39304	0.497696	1.19473	0.263981	107.603	0.303496	2.18279e-011	-1.98952e-013	1.06581e-014	-1
0	1638	0.0606323	11.3547	4.25449	0.354192	2.37955	0.497391	1.18825	0.264373	110.621	0.299319	2.18279e-011	-2.27374e-013	1.06581e-014	-1
0	1639	0.0560345	11.3626	4.28502	0.354624	2.36706	0.49693	1.18248	0.264687	113.428	0.295521	2.91038e-011	-1.98952e-013	1.06581e-014	-1
0	1640	0.0514239	11.3689	4.31274	0.355233	2.35472	0.496306	1.17701	0.264948	116.177	0.291879	2.18279e-011	-2.27374e-013	1.42109e-014	-1
0	1641	0.0464081	11.374	4.33981	0.356021	2.34149	0.495451	1.17139	0.265177	119.094	0.288098	2.91038e-011	-2.27374e-013	1.42109e-014	-1
0	1642	0.0409913	11.3772	4.36568	0.356945	2.32738	0.494328	1.16567	0.265366	122.2	0.284162	2.18279e-011	-1.98952e-013	1.42109e-014	-1
0	1643	0.0362886	11.3782	4.38549	0.357762	2.31523	0.49319	1.16098	0.265489	124.939	0.280767	1.45519e-011	-2.27374e-013	1.42109e-014	-1
