lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
106	0	0	0	0	_cQEvAve_	mm/day	0	0	1.5	1.5	1.5	1.5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	standard_average_evaporation																																														0		cQEvAve	dummy
107	0	0	0	0	_cQEvVar_	mm/day	0	0	1.3	1.3	1.3	1.3	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	standard_variation_in_evaporation																																														0		cQEvVar	dummy
108	0	0	0	0	_cPLoad_	gP/m2/day	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	standard_P_loading_if_not_measured																																														0		cPLoad	dummy
109	0	0	0	0	_cPLoadSum_	gP/m2/day	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	summer_P_loading_if_not_measured																																														0		cPLoadSum	dummy
110	0	0	0	0	_cPLoadWin_	gP/m2/day	0	0	0.005	0.005	0.005	0.005	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	winter_P_loading_if_not_measured																																														0		cPLoadWin	dummy
111	0	0	0	0	_fPO4In_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	fraction_PO4_in_input_(if_PO4_input_not_measured)																																														0		fPO4In	dummy
112	0	0	0	0	_fPhytInWin_	-	0	0	0.02	0.02	0.02	0.02	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	minimum_algal_fraction_in_organic_P_input																																														0		fPhytInWin	dummy
113	0	0	0	0	_fPhytInSum_	-	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	maximum_algal_fraction_in_organic_P_input																																														0		fPhytInSum	dummy
114	0	0	0	0	_fDiatPhytIn_	-	0	0	0.33	0.33	0.33	0.33	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	diatoms_fraction_of_algal_input																																														0		fDiathytIn	dummy
115	0	0	0	0	_fGrenPhytIn_	-	0	0	0.34	0.34	0.34	0.34	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	greens_fraction_of_algal_input																																														0		fGrenhytIn	dummy
