RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_oO2WHyp_	_aDVeg_	_oO2WEpi_	_oPTotWHyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	_aDepthError_	-1
0	94	2	2.9132	1.05171	0.000294431	6.91704	0.0875396	13.8725	0.921244	6.70064	0.438801	0.399407	27.8228	-2.18279e-011	5.68434e-014	-7.10543e-015	-1.42109e-014	0	0	-1
0	95	2	2.94135	1.07902	0.000294749	6.91704	0.0891177	13.6448	0.921244	6.70064	0.447898	0.397226	24.8822	-2.91038e-011	0	-1.42109e-014	-1.42109e-014	0	0	-1
0	96	2	2.96983	1.10703	0.000295047	6.91704	0.0907604	13.4299	0.921244	6.70064	0.456927	0.395373	22.3483	-2.18279e-011	0	-7.10543e-015	-2.13163e-014	0	0	-1
0	97	2	3.00017	1.1373	0.000295339	6.91704	0.0925179	13.2187	0.921244	6.70064	0.466299	0.393724	20.0679	-2.18279e-011	0	-7.10543e-015	-2.13163e-014	0	0	-1
0	98	2	3.03366	1.1712	0.000295634	6.91704	0.09446	13.0054	0.921244	6.70064	0.476373	0.392212	17.9572	-2.91038e-011	-5.68434e-014	0	-2.13163e-014	0	0	-1
0	99	2	3.06835	1.20688	0.000295913	6.91704	0.0965013	12.8023	0.921244	6.70064	0.486635	0.390903	16.1138	-2.91038e-011	-5.68434e-014	-7.10543e-015	-2.84217e-014	0	0	-1
0	100	2	3.1018	1.24182	0.000296159	6.91704	0.0985021	12.6221	0.921244	6.70064	0.496368	0.389841	14.607	-2.91038e-011	0	-1.42109e-014	-2.84217e-014	0	0	-1
0	101	2	3.1018	1.24182	0.000296159	6.91704	0.0985021	12.6221	0.921244	6.70064	0.496368	0.389841	14.607	-2.91038e-011	0	-1.42109e-014	-2.84217e-014	0	0	-1
0	102	2	3.13448	1.27648	0.000296378	6.91704	0.100468	12.4615	0.921244	6.70064	0.505614	0.38897	13.3602	-2.91038e-011	-5.68434e-014	-7.10543e-015	-2.13163e-014	0	0	-1
0	103	2	3.1696	1.31431	0.000296594	6.91704	0.102571	12.3057	0.921244	6.70064	0.515165	0.388193	12.2333	-2.91038e-011	-1.13687e-013	-7.10543e-015	-2.84217e-014	0	0	-1
0	104	2	3.20981	1.35836	0.000296817	6.91704	0.104982	12.1448	0.921244	6.70064	0.525674	0.387461	11.1541	-2.18279e-011	-1.13687e-013	-7.10543e-015	-2.84217e-014	0	0	-1
0	105	2	3.25328	1.40686	0.000297034	6.91704	0.107632	11.9871	0.921244	6.70064	0.536687	0.386816	10.176	-2.18279e-011	-5.68434e-014	-7.10543e-015	-1.42109e-014	0	0	-1
0	106	2	3.28982	1.44836	0.000297197	6.91704	0.109959	11.8628	0.921244	6.70064	0.545899	0.386362	9.45976	-2.91038e-011	-5.68434e-014	-7.10543e-015	-1.42109e-014	0	0	-1
0	107	2	3.32854	1.49307	0.000297354	6.91704	0.11237	11.7459	0.921244	6.70064	0.554999	0.385984	8.83098	-2.18279e-011	-1.13687e-013	-7.10543e-015	-2.13163e-014	0	0	-1
0	108	2	3.37462	1.54727	0.00029752	6.91704	0.11523	11.621	0.921244	6.70064	0.565211	0.385635	8.20625	-2.91038e-011	-5.68434e-014	-7.10543e-015	-1.42109e-014	0	0	-1
0	109	2	3.42688	1.61004	0.000297684	6.91704	0.118528	11.4927	0.921244	6.70064	0.576226	0.385345	7.61578	-2.91038e-011	-5.68434e-014	-7.10543e-015	-2.13163e-014	0	0	-1
0	110	2	3.46722	1.65945	0.000297795	6.91704	0.121242	11.3978	0.921244	6.70064	0.584689	0.385182	7.21368	-2.91038e-011	-5.68434e-014	-1.42109e-014	-1.42109e-014	0	0	-1
0	111	2	3.51101	1.71405	0.000297902	6.91704	0.124079	11.3074	0.921244	6.70064	0.592972	0.385071	6.85901	-2.91038e-011	-5.68434e-014	-2.13163e-014	-2.13163e-014	0	0	-1
