sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet2	
_hDVegBird_	_gDW_*_m_^-2	0	0	5	5	
_fDAssBird_	0	0	0	0.5	0.5	
_fDissEgesBird_	0	0	0	0.25	0.25	
_fDissMortVeg_	0	0	0	0.25	0.25	
_cLengAllo_	_d_	0	0	15	15	
_cLengMort_	_d_	0	0	15	15	
_UseEmpUpt_	0	0	0	0	0	
_fSedUptVegMax_	0	0	0	0.998	0.998	
_fSedUptVegCoef_	0	0	0	2.66	2.66	
_fSedUptVegExp_	0	0	0	-0.83	-0.83	
_fRootVegSum_	_gDW_*_gDW_^-1	0	0	0.1	0.1	
_fRootVegWin_	_gDW_*_gDW_^-1	0	0	0.6	0.6	
_fFloatVeg_	_gDW_*_gDW_^-1	0	0	0	0	
_fEmergVeg_	_gDW_*_gDW_^-1	0	0	0	0	
_cVegHeight_	_m_	0	0	3	3	
_cVegHeightWin_	_m_	0	0	2	2	
_cVegMaxHeight_	_m_	0	0	3	3	
_cVegHPar1_	0	0	0	0.0191	0.0191	
_cVegHPar2_	0	0	0	0.7969	0.7969	
_cVegL_	0	0	0	1	1	
_cDStemVeg_	_gDW_*_m_^-1	0	0	1.97	1.97	
_cDensVeg_	_m_^-2	0	0	10	10	
_fDepth1Veg_	0	0	0	0	0	
_fDepth2Veg_	0	0	0	1	1	
_cDLayerVeg_	_gDW_*_m_^-2	0	0	0	0	
_cCovSpVeg_	_gDW_^-1*_m_^2	0	0	0.5	0.5	
_kMigrVeg_	_d_^-1	0	0	0.001	0.001	
_cDVegIn_	_gDW_*_m_^-2	0	0	1	1	
_cTmInitVeg_	_oC_	0	0	9	9	
_cPhotInitVeg_	_h_	0	0	12	12	
_cDCarrVeg_	_gDW_*_m_^-2	0	0	1000	1000	
_cMuMaxVeg_	_gDW_*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cQ10ProdVeg_	0	0	0	1.2	1.2	
_hLRefVeg_	_J_*_s_^-1*_m_^-2	0	0	13	13	
_cExtSpVeg_	_m_^2*_gDW_^-1	0	0	0.01	0.01	
_kDRespVeg_	_d_^-1	0	0	0.016	0.016	
_cQ10RespVeg_	0	0	0	2	2	
_kMortVegSum_	_d_^-1	0	0	0.005	0.005	
_fWinVeg_	0	0	0	0.3	0.3	
_cDayWinVeg_	_d_	0	0	259	259	
_fDetWMortVeg_	0	0	0	0.1	0.1	
_cPrefVegBird_	0	0	0	1	1	
_cVPUptMaxVeg_	_gP_*_gDW_^-1*_d_^-1	0	0	0.01	0.01	
_cAffPUptVeg_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cPDVegMin_	_gP_*_gDW_^-1	0	0	0.0008	0.0008	
_cPDVegMax_	_gP_*_gDW_^-1	0	0	0.0035	0.0035	
_cVNUptMaxVeg_	_gN_*_gDW_^-1*_d_^-1	0	0	0.1	0.1	
_cAffNUptVeg_	_m_^3*_gDW_^-1*_d_^-1	0	0	0.2	0.2	
_cNDVegMin_	_gN_*_gDW_^-1	0	0	0.01	0.01	
_cNDVegMax_	_gN_*_gDW_^-1	0	0	0.035	0.035	
_cPACoefMin_	0	0	0	1.5	1.5	
_cPACoefMax_	0	0	0	2.5	2.5	
_hPACoef_	_gDW_*_m_^-3	0	0	3	3	
_cSecchiPlus_	_m_	0	0	0	0	
_cEuph_	0	0	0	1.7	1.7	
_cCovSpPhyt_	_gDW_^-1*_m_^2	0	0	2	2	
_cTmOptLoss_	_oC_	0	0	25	25	
_cSigTmLoss_	_oC_	0	0	13	13	
_fDissMortPhyt_	0	0	0	0.2	0.2	
_fDissLoss_	0	0	0	0.25	0.25	
_cMuMaxDiat_	_d_^-1	0	0	2	2	
_cTmOptDiat_	_oC_	0	0	18	18	
_cSigTmDiat_	_oC_	0	0	20	20	
_cExtSpDiat_	_m_^2*_gDW_^-1	0	0	0.25	0.25	
_UseSteeleDiat_	0	0	0	1	1	
